Constituency name,Region name,Country name,Constituency type,Member first name,Member surname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner
Aberafan Maesteg,Wales,Wales,County,Stephen,Kinnock,Male,Lab hold,Lab,RUK,"72,580","35,755",79,"10,354","2,903","17,838",916,"7,484","1,094",0,"4,719",0,0,0,0,0,801,0
Aberdeen North,Scotland,Scotland,Burgh,Kirsty,Blackman,Female,SNP hold,SNP,Lab,"75,925","42,095",115,"1,760","5,881","12,773","2,583","3,781","1,275","14,533",0,0,0,0,0,0,"1,269",0
Aberdeen South,Scotland,Scotland,Burgh,Stephen,Flynn,Male,SNP hold,SNP,Lab,"77,328","46,345",178,"3,758","11,300","11,455","2,921","3,199","1,609","15,213",0,0,0,0,0,0,648,0
Aberdeenshire North and Moray East,Scotland,Scotland,County,Seamus,Logan,Male,SNP gain from Con,SNP,Con,"70,058","38,188",170,942,"12,513","3,876","2,782","5,562",0,"13,455",0,0,0,0,0,0,0,0
Airdrie and Shotts,Scotland,Scotland,County,Kenneth,Stevenson,Male,Lab gain from SNP,Lab,SNP,"70,199","36,666",95,"7,547","1,696","18,871",725,"2,971",0,"11,324",0,0,0,0,0,0,"1,079",0
Aldershot,South East,England,Borough,Alex,Baker,Female,Lab gain from Con,Lab,Con,"78,553","48,544",179,"5,683","14,081","19,764","4,052","8,210","2,155",0,0,0,0,0,0,0,282,0
Aldridge-Brownhills,West Midlands,England,Borough,Wendy,Morton,Female,Con hold,Con,Lab,"70,268","40,912",156,"4,294","15,901","11,607","1,755","9,903","1,746",0,0,0,0,0,0,0,0,0
Alloa and Grangemouth,Scotland,Scotland,County,Brian,Leishman,Male,Lab gain from SNP,Lab,SNP,"70,680","41,201",74,"6,122","3,127","18,039","1,151","3,804","1,421","11,917",0,0,0,0,0,0,"1,742",0
Altrincham and Sale West,North West,England,Borough,Connor,Rand,Male,Lab gain from Con,Lab,Con,"74,025","51,452",184,"4,174","16,624","20,798","4,727","4,961","3,699",0,0,0,0,0,0,0,643,0
Alyn and Deeside,Wales,Wales,County,Mark,Tami,Male,Lab hold,Lab,RUK,"75,790","43,392",135,"8,794","7,892","18,395","2,065","9,601","1,926",0,"1,938",0,0,0,0,0,"1,575",0
